Epoch   E(m)   N(m)   U(m)
83 -4530215.5078 3660565.5801 -104229119579971.5156
84 -4530207.6328 3660561.2539 -104229119579965.2188
85 -4530189.6250 3660564.4961 -104229119579953.3125
86 -4530188.0391 3660566.3164 -104229119579949.4062
87 -4530189.1953 3660568.5801 -104229119579961.2812
88 -4530204.5312 3660556.8711 -104229119579966.7500
89 -4530219.5234 3660574.1719 -104229119579974.2500
90 -4530208.6094 3660562.6504 -104229119579985.1406
91 -4530207.8125 3660558.8516 -104229119579979.2188
92 -4530194.6328 3660547.6543 -104229119579966.5000
93 -4530195.5000 3660546.0215 -104229119579962.4844
94 -4530204.9531 3660557.0137 -104229119579967.7656
95 -4530194.9922 3660536.9609 -104229119579957.7188
96 -4530179.2422 3660538.5723 -104229119579956.8906
97 -4530173.9453 3660544.3945 -104229119579964.6406
98 -4530178.6562 3660553.9434 -104229119579968.7500
99 -4530181.9062 3660557.8516 -104229119579977.8438
100 -4530173.2812 3660547.6836 -104229119579960.1875
101 -4530169.1172 3660536.7676 -104229119579955.4219
102 -4530166.4219 3660556.1172 -104229119579961.6875
103 -4530167.6250 3660557.0977 -104229119579963.0312
104 -4530160.4297 3660546.1133 -104229119579968.5156
105 -4530161.5000 3660559.9277 -104229119579957.4375
106 -4530160.1562 3660544.2422 -104229119579973.6562
107 -4530148.4688 3660529.6855 -104229119579964.1094
108 -4530167.3281 3660554.0508 -104229119579963.6562
109 -4530170.5312 3660544.1875 -104229119579957.0312
110 -4530165.5391 3660555.6836 -104229119579964.0312
111 -4530169.0859 3660559.5234 -104229119579972.5469
112 -4530164.8438 3660560.7676 -104229119579970.8281
113 -4530148.2812 3660540.1016 -104229119579966.2031
114 -4530159.0859 3660535.5078 -104229119579955.2344
115 -4530155.9219 3660548.2598 -104229119579965.5469
116 -4530173.8672 3660553.6270 -104229119579966.3281
117 -4530154.0547 3660547.0176 -104229119579949.7812
