Epoch   E(m)   N(m)   U(m)
522 0.0466171 0.562456 0.637783
523 0.0666411 0.580568 0.626951
524 0.0775623 0.552636 0.497271
525 0.0958415 0.56194 0.400831
526 0.116309 0.568019 0.347686
527 0.150498 0.574564 0.271662
528 0.180901 0.609822 0.194696
529 -0.287778 0.362297 1.42809
530 -0.282013 0.359161 1.43995
531 -0.287453 0.367362 1.41367
532 -0.290129 0.376846 1.41277
533 -0.278533 0.387993 1.4241
534 -0.285402 0.402566 1.40866
535 -0.27974 0.408137 1.42271
536 -0.292148 0.389111 1.39823
537 -0.294575 0.39193 1.39372
538 -0.294574 0.403173 1.40604
539 -0.282054 0.420611 1.44009
540 -0.288576 0.422684 1.46001
541 -0.287394 0.437814 1.46128
542 -0.26346 0.423767 1.50607
543 -0.268545 0.426598 1.48356
544 -0.269721 0.409329 1.44931
545 -0.279871 0.412321 1.4392
546 -0.279906 0.417486 1.43783
547 -0.282257 0.407504 1.4271
548 -0.279014 0.414166 1.40863
549 -0.278973 0.417041 1.36511
550 -0.280325 0.409099 1.35935
551 -0.278666 0.411587 1.32698
552 -0.276623 0.419011 1.33287
553 -0.270831 0.429154 1.31999
554 -0.263487 0.421592 1.30664
555 -0.254358 0.421977 1.30279
556 -0.246887 0.416417 1.31189
557 -0.237311 0.423874 1.29714
558 -0.23405 0.42337 1.29028
559 -0.235549 0.425694 1.28871
560 -0.240395 0.421124 1.27616
561 -0.236317 0.4135 1.26373
562 -0.230097 0.415659 1.24842
563 -0.24192 0.427282 1.22948
564 -0.229143 0.433684 1.22176
565 -0.229747 0.435541 1.20597
566 -0.225497 0.442313 1.19673
567 -0.217527 0.451184 1.1647
568 -0.224919 0.452929 1.14534
569 -0.227045 0.463474 1.1214
570 -0.215745 0.468375 1.0983
571 -0.2184 0.463802 1.09919
572 -0.220639 0.471924 1.07951
573 -0.221312 0.473122 1.04474
574 -0.213857 0.474122 1.0432
575 -0.212962 0.473824 1.026
576 -0.20763 0.460435 1.02294
577 -0.196216 0.468807 1.00492
578 -0.196838 0.471127 1.00368
579 -0.186894 0.475454 0.994017
580 -0.19831 0.47886 0.982045
581 -0.200382 0.473772 0.955028
582 -0.191429 0.482724 0.953179
583 -0.192978 0.483166 0.937836
584 -0.191965 0.484563 0.926613
585 -0.192311 0.495061 0.897165
586 -0.196508 0.499553 0.872282
587 -0.21096 0.500111 0.856035
588 -0.204834 0.505031 0.825868
589 -0.198586 0.511054 0.809004
590 -0.197705 0.514275 0.800469
591 -0.196452 0.519121 0.771979
592 -0.198066 0.516156 0.765942
593 -0.200243 0.516104 0.751041
594 -0.200543 0.520205 0.726146
595 -0.203191 0.522327 0.710993
596 -0.203778 0.526222 0.706272
597 -0.201158 0.530281 0.693034
598 -0.196184 0.530825 0.68061
599 -0.191403 0.528665 0.681622
600 -0.188788 0.531825 0.688104
601 -0.174907 0.526621 0.678892
602 -0.179656 0.538624 0.660854
603 -0.183955 0.538852 0.645322
604 -0.186321 0.539622 0.639888
605 -0.181589 0.549537 0.626922
606 -0.171334 0.549641 0.589964
607 -0.172576 0.554024 0.579703
608 -0.172468 0.556446 0.568932
609 -0.16319 0.565885 0.553499
610 -0.159246 0.558917 0.539206
611 -0.152888 0.56039 0.518933
612 -0.149589 0.570507 0.492599
613 -0.147234 0.568877 0.495181
614 -0.150435 0.577356 0.469903
615 -0.156733 0.583727 0.443254
616 -0.154354 0.588783 0.403296
617 -0.148884 0.596643 0.384753
618 -0.149256 0.599679 0.361619
619 -0.147775 0.604859 0.336687
620 -0.151367 0.609459 0.347908
621 -0.156374 0.609464 0.315128
622 -0.146514 0.606576 0.288724
623 -0.148686 0.616902 0.286924
624 -0.145382 0.62193 0.264962
625 -0.150916 0.616299 0.26139
626 -0.153452 0.622153 0.232473
627 -0.151233 0.626559 0.213387
628 -0.149445 0.631197 0.214727
629 -0.141306 0.638461 0.182899
630 -0.138606 0.646784 0.176688
631 -0.141812 0.647145 0.153124
632 -0.131725 0.65462 0.173456
633 -0.140965 0.651438 0.131949
634 -0.144719 0.654614 0.103518
635 -0.141643 0.658365 0.0925456
636 -0.139684 0.663576 0.0945754
637 -0.146994 0.664025 0.0821208
638 -0.14567 0.663715 0.0433952
639 -0.144704 0.664216 0.0206683
640 -0.147444 0.665476 0.00699272
641 -0.142799 0.673906 -0.00029327
642 -0.150171 0.677399 -0.0249103
643 -0.156686 0.690068 -0.0329485
644 -0.154021 0.689837 -0.0372389
645 -0.166705 0.692799 -0.0589738
646 -0.165983 0.70292 -0.080998
647 -0.163588 0.704531 -0.0953874
648 -0.168028 0.703 -0.10658
649 -0.169513 0.711183 -0.127156
650 -0.168864 0.715676 -0.14445
651 -0.157549 0.715233 -0.168107
652 -0.170707 0.716765 -0.180614
653 -0.16307 0.717986 -0.161047
654 -0.174971 0.721891 -0.178982
655 -0.173177 0.72794 -0.202766
656 -0.16383 0.732538 -0.215301
657 -0.169862 0.734585 -0.245987
658 -0.181637 0.74017 -0.273069
659 -0.181134 0.747946 -0.297931
660 -0.186413 0.750811 -0.299595
661 -0.1893 0.752511 -0.311538
662 -0.128838 0.725403 0.365823
663 -0.134929 0.723595 0.350782
664 -0.136363 0.726183 0.340893
665 -0.131465 0.728434 0.345734
666 -0.138445 0.734525 0.318996
667 -0.139522 0.736574 0.321274
668 -0.136353 0.738442 0.302796
669 -0.136137 0.73895 0.294031
670 -0.134243 0.746669 0.294595
671 -0.138491 0.748402 0.289661
672 -0.133385 0.759772 0.277309
673 -0.140829 0.760151 0.267829
674 -0.137945 0.768432 0.246095
675 -0.142805 0.766486 0.224679
676 -0.140465 0.767124 0.193482
677 -0.136115 0.766613 0.188687
678 -0.14066 0.767212 0.176314
679 -0.140794 0.767671 0.166427
680 -0.141472 0.769118 0.146429
681 -0.137806 0.771535 0.134557
682 -0.144698 0.772947 0.106998
683 -0.143772 0.778248 0.108754
684 -0.138341 0.784142 0.100157
685 -0.143192 0.789068 0.0695416
686 -0.146794 0.789582 0.0735933
687 -0.148914 0.787465 0.0602971
688 -0.145392 0.792577 0.0561477
689 -0.143942 0.793726 0.0528824
690 -0.15494 0.79294 0.0569287
691 -0.163465 0.792082 0.0324958
692 -0.169109 0.799887 0.00673606
693 -0.17308 0.801448 -0.0116806
694 -0.242913 0.802556 -0.164362
695 -0.229706 0.80524 -0.170495
696 0.0384643 0.839555 0.364657
697 -1.37959 0.674975 -2.49409
698 0.140274 0.853131 0.562408
699 -0.176078 0.819956 -0.0768503
700 -0.486275 0.782326 -0.700534
701 -0.188882 0.819821 -0.0916648
702 -0.188312 0.818161 -0.102082
703 -0.186783 0.81623 -0.0970397
704 -0.18879 0.810351 -0.0953902
705 -0.189966 0.809107 -0.0979897
706 -0.189312 0.812069 -0.108018
707 -0.18964 0.808609 -0.11323
708 -0.195437 0.815399 -0.115956
709 -0.189602 0.81416 -0.124934
710 -0.19114 0.820545 -0.152475
711 -0.188468 0.827778 -0.14097
712 -0.192065 0.826244 -0.159032
713 -0.189071 0.821815 -0.159169
714 -0.181849 0.821502 -0.170214
715 -0.180099 0.830548 -0.172824
716 -0.179094 0.823752 -0.186732
717 -0.178318 0.828549 -0.183946
718 -0.174222 0.82597 -0.197828
719 -0.180119 0.825488 -0.213959
720 -0.175678 0.832463 -0.194598
721 -0.171446 0.836221 -0.197517
722 -0.169611 0.839814 -0.198435
723 -0.167757 0.849569 -0.192487
724 -0.163558 0.841961 -0.199155
725 -0.157628 0.842731 -0.192822
726 -0.150252 0.842221 -0.1952
727 -0.154087 0.842229 -0.1903
728 -0.154204 0.84517 -0.200221
729 -0.157333 0.847541 -0.187187
730 -0.150878 0.845993 -0.212057
731 -0.140464 0.84442 -0.218764
732 -0.139269 0.850219 -0.226703
