# TOW(s)         Up(m)      
 208562.0000        -1.0897
 208563.0000        18.9269
 208564.0000       -10.2533
 208565.0000         8.5298
 208566.0000        -0.9292
 208567.0000       -26.1531
 208568.0000       -18.5923
 208569.0000       -25.8149
 208570.0000       -20.6101
 208571.0000         9.8064
 208572.0000        -5.4583
 208573.0000         9.3425
 208574.0000        -4.6245
 208575.0000         7.3739
 208576.0000         2.2100
 208577.0000       -18.2764
 208578.0000       -16.5264
 208579.0000       -18.0136
 208580.0000       -15.2774
 208581.0000       -12.9119
 208582.0000        -4.6498
 208583.0000       -33.0345
 208584.0000       -20.1039
 208585.0000       -16.2576
 208586.0000       -13.4843
 208587.0000       -13.9296
 208588.0000       -10.1088
 208589.0000       -13.8014
 208590.0000       -14.0996
 208591.0000        -7.2044
 208592.0000        -4.2612
 208593.0000         1.3809
 208594.0000       -17.6223
 208595.0000       -16.0544
 208596.0000        -7.6050
 208597.0000       -18.3037
 208598.0000       -12.9839
 208599.0000       -24.5994
 208600.0000       -11.1989
 208601.0000       -20.9851
 208602.0000       -19.3203
 208603.0000       -10.5860
 208604.0000        -6.6466
 208605.0000        -1.4110
 208606.0000       -14.7346
 208607.0000        -7.9761
 208608.0000       -23.0862
 208609.0000       -22.1231
 208610.0000       -17.9459
 208611.0000       -27.5230
 208612.0000       -12.5950
 208613.0000       -19.5975
 208614.0000       -25.7805
 208615.0000         7.5198
 208616.0000        24.8855
 208617.0000        -1.0363
 208618.0000        19.1371
 208619.0000        12.1304
 208620.0000         7.4645
 208621.0000        22.3553
 208622.0000       -11.1011
 208623.0000        -1.0227
 208624.0000        -4.7765
 208625.0000        10.4473
 208626.0000        20.5363
 208627.0000         7.7007
 208628.0000        -4.9109
 208629.0000        -5.3989
 208630.0000        14.1547
 208631.0000         1.5270
 208632.0000         8.4399
 208633.0000         7.8851
 208634.0000        -4.0333
 208635.0000        32.3130
 208636.0000        31.9759
 208637.0000        35.2438
 208638.0000         1.3419
 208639.0000        28.4387
 208640.0000        16.9397
 208641.0000        33.5016
 208642.0000         8.4024
 208643.0000        20.7116
 208644.0000         9.7269
 208645.0000        17.7600
 208646.0000        17.7609
 208647.0000        49.9852
 208648.0000        52.3932
 208649.0000        51.7257
 208650.0000        58.2844
 208651.0000        62.2331
 208652.0000        66.9112
 208653.0000        62.5298
 208654.0000        74.9061
 208655.0000        64.0637
 208656.0000        61.6258
 208657.0000        64.9257
 208658.0000        52.8424
 208659.0000        34.3256
 208660.0000        38.4153
 208661.0000        26.0407
 208662.0000        25.4811
 208663.0000        25.3251
 208664.0000        36.1420
 208665.0000        50.1375
 208666.0000        48.9418
 208667.0000        38.9320
 208668.0000        34.5000
 208669.0000        39.5584
 208670.0000        42.4975
 208671.0000        44.1288
 208672.0000        44.1064
 208673.0000        41.0646
 208674.0000        41.8731
 208675.0000        45.2133
 208676.0000        49.9670
 208677.0000        53.6395
 208678.0000        48.2930
 208679.0000        46.3507
 208680.0000        53.2837
 208681.0000        49.0486
 208682.0000        52.6344
 208683.0000        52.6275
 208684.0000        54.2352
 208685.0000        53.7579
 208686.0000        45.4679
 208687.0000        20.3354
 208688.0000        47.2364
 208689.0000        55.6503
 208690.0000        61.1581
 208691.0000        59.5845
 208692.0000        56.7346
 208693.0000        58.9794
 208694.0000        58.0255
 208695.0000        51.0475
 208696.0000        27.8589
 208697.0000        60.4885
 208698.0000        46.8014
 208699.0000        55.9001
 208700.0000        56.3330
 208701.0000        47.7820
 208702.0000        53.5731
 208703.0000        49.5010
 208704.0000        49.5481
 208705.0000        39.5893
 208706.0000        32.5275
 208707.0000        43.0113
 208708.0000        40.0150
 208709.0000        56.7965
 208710.0000        34.6268
 208711.0000        43.8357
 208712.0000        52.9611
 208713.0000        58.8477
 208714.0000        40.9488
 208715.0000        27.3748
 208716.0000        19.9040
 208717.0000         2.2366
 208718.0000         9.5210
 208719.0000       -42.0537
 208720.0000       -36.0359
 208721.0000       -31.9475
 208722.0000       -24.5141
 208723.0000       -32.9832
 208724.0000       -36.2980
 208725.0000       -34.6680
 208726.0000       -34.3785
 208727.0000       -34.3971
 208728.0000       -37.7599
 208729.0000       -41.5661
 208730.0000       -44.4109
 208731.0000       -41.0292
 208732.0000       -37.7139
 208733.0000       -29.5101
 208734.0000       -27.8829
 208735.0000       -33.1239
 208736.0000       -29.6864
 208737.0000       -27.8535
 208738.0000       -31.3086
 210830.0000       -36.2693
 210831.0000       -35.5944
 210832.0000       -39.5113
 210833.0000       -35.5137
 210834.0000       -29.5544
 210835.0000       -29.4533
 210836.0000       -29.0234
 210837.0000       -31.3950
 210838.0000       -32.0215
 210839.0000       -32.3910
 210840.0000       -29.4016
 210841.0000       -27.8103
 210842.0000       -34.5198
 210843.0000       -35.5502
 210844.0000       -27.0480
 210845.0000       -34.5955
 210846.0000       -29.2750
 210847.0000       -32.0441
 210848.0000       -25.8160
 210849.0000       -29.0902
 210850.0000       -40.1284
 210851.0000       -40.4666
 210852.0000       -38.2060
 210853.0000       -39.1438
 210854.0000       -31.4870
 210855.0000       -35.1466
 210856.0000       -28.8406
 210857.0000       -29.3441
 210858.0000       -41.6670
 210859.0000       -28.4630
 210860.0000       -26.8497
 210861.0000       -23.2932
 210862.0000       -29.9340
 210863.0000       -29.8322
 210864.0000       -30.2617
 210865.0000       -38.8809
 210866.0000       -28.2554
 210867.0000       -30.5075
 210868.0000       -24.4088
 210869.0000       -29.7766
 210870.0000       -25.9499
 210871.0000       -38.3351
 210872.0000       -33.7938
 210873.0000       -34.7599
 210874.0000       -29.5928
 210875.0000       -33.8896
 210876.0000       -35.6283
 210877.0000       -29.7023
 210878.0000       -29.2181
 210879.0000       -24.3559
 210880.0000       -30.1393
 210881.0000       -29.2683
 210882.0000       -31.9462
 210883.0000       -28.0579
 210884.0000       -30.2259
 210885.0000       -31.8022
 210886.0000       -31.4433
 210887.0000       -32.7010
 210888.0000       -24.7989
 210889.0000       -25.6133
 210890.0000       -24.4965
 210891.0000       -22.0960
 210892.0000       -28.9829
 210893.0000       -21.9873
 210894.0000       -18.9388
 210895.0000       -19.1415
 210896.0000       -20.5676
 210897.0000       -28.5828
 210898.0000       -28.8821
 210899.0000       -28.7707
 210900.0000       -30.6634
 210901.0000       -28.2600
 210902.0000       -28.2973
 210903.0000       -32.1277
 210904.0000       -35.7481
 210905.0000       -33.0642
 210906.0000       -35.6020
 210907.0000       -33.3000
 210908.0000       -29.6168
 210909.0000       -33.8508
 210910.0000       -29.5467
 210911.0000       -36.5675
 210912.0000       -30.2510
 210913.0000       -27.5820
 210914.0000       -31.7958
 210915.0000       -24.4849
 210916.0000       -25.6989
 210917.0000       -27.3915
 210918.0000       -30.9206
 210919.0000       -27.8348
 210920.0000       -25.8898
 210921.0000       -26.6186
 210922.0000       -36.6584
 210923.0000       -26.7445
 210924.0000       -36.8651
 210925.0000       -32.2137
 210926.0000       -26.7977
 210927.0000       -29.1892
 210928.0000       -30.6725
 210929.0000       -24.4153
 210930.0000       -16.5374
 210931.0000       -23.3735
 210932.0000       -24.3469
 210933.0000       -28.3977
 210934.0000       -40.8846
 210935.0000       -41.0646
 210936.0000       -41.5144
 210937.0000       -39.7743
 210938.0000       -27.4090
 210939.0000       -16.8184
 210940.0000       -30.0145
 210941.0000       -31.2217
 210942.0000       -26.4189
 210943.0000       -41.6691
 210944.0000       -35.7029
 210945.0000       -34.4283
 210946.0000       -25.3885
 210947.0000       -36.9732
 210948.0000       -28.4697
 210949.0000       -24.4055
 210950.0000       -13.6420
 210951.0000       -16.1305
 210952.0000       -15.9170
 210953.0000       -16.7996
 210954.0000       -14.2579
 210955.0000       -20.0389
 210956.0000       -20.6656
 210957.0000       -14.2692
 210958.0000        -6.3372
 210959.0000       -13.1278
 210960.0000        -9.4178
 210961.0000        -7.3367
 210962.0000        -6.9778
 210963.0000       -10.2185
 210964.0000       -14.1274
 210965.0000        -0.0450
 210966.0000        -0.2567
 210967.0000        -4.0949
 210968.0000        -3.6338
 210969.0000        -3.0612
 210970.0000        -3.8359
 210971.0000       -19.3111
 210972.0000       -20.0364
 210973.0000       -13.8697
 210974.0000       -13.2775
 210975.0000       -25.4320
 210976.0000        -8.1882
 210977.0000       -17.9663
 210978.0000        -1.5087
 210979.0000       -11.0248
 210980.0000        -1.9935
 210981.0000       -11.8981
 210982.0000       -26.7868
 210983.0000       -32.5405
 210984.0000       -30.0502
 210985.0000       -27.0471
 210986.0000       -25.7855
 210987.0000       -23.1569
 210988.0000       -20.6773
 210989.0000       -24.9456
 210990.0000       -25.6212
 210991.0000       -23.0408
 210992.0000       -26.1767
 210993.0000       -18.2270
 210994.0000       -20.6809
 210995.0000        -9.8026
 210996.0000        16.5978
 210997.0000       -13.8893
 210998.0000         6.4560
 210999.0000        -5.2115
 211000.0000         8.6367
 211001.0000        -6.5718
 211002.0000        -3.9353
 211003.0000        -7.9871
 211004.0000        -3.7724
 211005.0000        -8.4859
 211006.0000        -1.4486
 211007.0000         4.7468
 211008.0000        -9.3722
 211009.0000         5.5875
 211010.0000        15.3332
 211011.0000        22.3585
 211012.0000        18.5254
 211013.0000       -26.6348
 211014.0000       -30.4155
 211015.0000       -38.3717
 211016.0000       -41.8308
 211017.0000       -38.3275
 211018.0000       -41.8169
 211019.0000       -40.4940
 211020.0000       -32.4720
 211021.0000       -38.5313
 211022.0000       -37.0450
 211023.0000       -24.2218
 211024.0000       -16.9279
 211025.0000       -31.7699
 211026.0000       -38.4684
 211027.0000       -35.9666
 211028.0000       -39.0134
 211029.0000       -41.0132
 211030.0000       -42.1989
 211031.0000       -42.4863
 211032.0000       -46.2493
 211033.0000       -41.9346
 211034.0000       -31.8972
 211035.0000       -33.3535
 211036.0000       -35.0676
 211037.0000       -29.7357
 211038.0000       -33.7268
 211039.0000       -34.3442
 211040.0000       -36.0712
 211041.0000       -36.1209
 211042.0000       -39.8739
 211043.0000       -33.2069
 211044.0000       -41.6148
 211045.0000       -40.3228
 211046.0000       -38.8420
 211047.0000       -35.2802
 211048.0000       -30.9933
 211049.0000       -36.0321
 211050.0000       -37.4718
 211051.0000       -41.2386
 211052.0000       -34.3967
 211053.0000       -34.0906
 211054.0000       -36.9668
 211055.0000       -38.3162
 211056.0000       -44.2928
 211057.0000       -34.1698
 211058.0000       -35.8167
 211059.0000       -26.0889
 211060.0000       -32.8327
 211061.0000       -33.0715
 211062.0000       -46.3641
 211063.0000       -48.4505
 211064.0000       -50.8418
 211065.0000       -44.8420
 211066.0000       -53.8347
 211067.0000       -46.2885
 211068.0000       -48.3298
 211069.0000       -49.8234
 211070.0000       -51.7649
 211071.0000       -50.5433
 211072.0000       -53.0908
 211073.0000       -51.5686
 211074.0000       -51.1881
 211075.0000       -50.7029
 211076.0000       -46.4537
 211077.0000       -50.7600
 211078.0000       -51.8391
 211079.0000       -51.5424
 211080.0000       -49.6961
 211081.0000       -51.8376
 211082.0000       -40.8555
 211083.0000       -47.3793
 211084.0000       -49.1882
 211085.0000       -47.2963
 211086.0000       -47.3163
 211087.0000       -49.6517
 211088.0000       -46.3058
 211089.0000       -44.6671
 211090.0000       -45.8379
 211091.0000       -45.2145
 211092.0000       -45.8847
 211093.0000       -44.0216
 211094.0000       -39.7683
 211095.0000       -41.0991
 211096.0000       -31.4333
 211097.0000       -25.8934
 211098.0000       -31.9687
 211099.0000       -30.6859
 211100.0000       -31.2795
 211101.0000       -32.0378
 211102.0000       -32.1082
 211103.0000       -38.3268
 211104.0000       -26.2142
 211105.0000       -33.6161
 211106.0000       -31.7978
 211107.0000       -38.8045
 211108.0000       -50.5878
 211109.0000       -46.0777
 211110.0000       -48.3653
 211111.0000       -41.1746
 211112.0000       -43.9331
 211113.0000       -39.9659
 211114.0000       -43.6883
 211115.0000       -40.4268
 211116.0000       -39.4222
 211117.0000       -42.4239
 211118.0000       -44.0464
 211119.0000       -40.8748
 211120.0000       -37.8963
 211121.0000       -42.8030
 211122.0000       -40.6371
 211123.0000        -6.9964
 211124.0000       -43.2908
 211125.0000       -37.8917
 211126.0000       -30.6033
 211127.0000       -30.3907
 211128.0000       -32.0442
 211129.0000       -26.7448
 211130.0000       -25.9228
 211131.0000       -24.2537
 211132.0000       -23.1140
 211133.0000       -22.6505
 211134.0000       -28.4754
 211135.0000       -34.4077
 211136.0000       -39.7760
 211137.0000       -21.1557
 211138.0000       -16.7274
 211139.0000       -28.4674
 211140.0000       -28.1575
 211141.0000       -32.8810
 211142.0000       -34.7587
 211143.0000       -35.4279
 211144.0000       -40.0015
 211145.0000       -43.8933
 211146.0000       -43.9048
 211147.0000       -42.3518
 211148.0000       -42.2566
 211149.0000       -41.3092
 211150.0000       -41.4319
 211151.0000       -43.8205
 211152.0000       -39.5748
 211153.0000       -36.4082
 211154.0000       -38.4801
 211155.0000       -43.0310
 211156.0000       -38.3534
 211157.0000       -37.4992
 211158.0000       -37.3523
 211159.0000       -39.7493
 211160.0000       -42.8104
 211161.0000       -42.0529
 211162.0000       -39.5823
 211163.0000       -39.5011
 211164.0000       -42.6878
 211165.0000       -40.1704
 211166.0000       -34.9360
