Epoch GPSWeek GPSSeconds E N U
125 2170 176520.000 -3.996946e+64 -5.261372e+64 6.333948e+64
126 2170 176550.000 -3.996946e+64 -5.261372e+64 6.333948e+64
127 2170 176580.000 -3.996946e+64 -5.261372e+64 6.333948e+64
128 2170 176610.000 -3.996946e+64 -5.261372e+64 6.333948e+64
129 2170 176640.000 -3.996946e+64 -5.261372e+64 6.333948e+64
130 2170 176670.000 -3.996946e+64 -5.261372e+64 6.333948e+64
131 2170 176700.000 -3.996946e+64 -5.261372e+64 6.333948e+64
132 2170 176730.000 -3.996946e+64 -5.261372e+64 6.333948e+64
133 2170 176760.000 -3.996946e+64 -5.261372e+64 6.333948e+64
134 2170 176790.000 -3.996946e+64 -5.261372e+64 6.333948e+64
135 2170 176820.000 -3.996946e+64 -5.261372e+64 6.333948e+64
136 2170 176850.000 -3.996946e+64 -5.261372e+64 6.333948e+64
137 2170 176880.000 -3.996946e+64 -5.261372e+64 6.333948e+64
138 2170 176910.000 -3.996946e+64 -5.261372e+64 6.333948e+64
139 2170 176940.000 -3.996946e+64 -5.261372e+64 6.333948e+64
140 2170 176970.000 -3.996946e+64 -5.261372e+64 6.333948e+64
141 2170 177000.000 -3.996946e+64 -5.261372e+64 6.333948e+64
142 2170 177030.000 -3.996946e+64 -5.261372e+64 6.333948e+64
143 2170 177060.000 -3.996946e+64 -5.261372e+64 6.333948e+64
144 2170 177090.000 -3.996946e+64 -5.261372e+64 6.333948e+64
145 2170 177120.000 -3.996946e+64 -5.261372e+64 6.333948e+64
146 2170 177150.000 -3.996946e+64 -5.261372e+64 6.333948e+64
147 2170 177180.000 -3.996946e+64 -5.261372e+64 6.333948e+64
148 2170 177210.000 -3.996946e+64 -5.261372e+64 6.333948e+64
149 2170 177240.000 -3.996946e+64 -5.261372e+64 6.333948e+64
150 2170 177270.000 -3.996946e+64 -5.261372e+64 6.333948e+64
151 2170 177300.000 -3.996946e+64 -5.261372e+64 6.333948e+64
152 2170 177330.000 -3.996946e+64 -5.261372e+64 6.333948e+64
153 2170 177360.000 -3.996946e+64 -5.261372e+64 6.333948e+64
154 2170 177390.000 -3.996946e+64 -5.261372e+64 6.333948e+64
155 2170 177420.000 -3.996946e+64 -5.261372e+64 6.333948e+64
156 2170 177450.000 -3.996946e+64 -5.261372e+64 6.333948e+64
157 2170 177480.000 -3.996946e+64 -5.261372e+64 6.333948e+64
158 2170 177510.000 -3.996946e+64 -5.261372e+64 6.333948e+64
159 2170 177540.000 -3.996946e+64 -5.261372e+64 6.333948e+64
160 2170 177570.000 -3.996946e+64 -5.261372e+64 6.333948e+64
161 2170 177600.000 -3.996946e+64 -5.261372e+64 6.333948e+64
162 2170 177630.000 -3.996946e+64 -5.261372e+64 6.333948e+64
163 2170 177660.000 -3.996946e+64 -5.261372e+64 6.333948e+64
164 2170 177690.000 -3.996946e+64 -5.261372e+64 6.333948e+64
165 2170 177720.000 -3.996946e+64 -5.261372e+64 6.333948e+64
166 2170 177750.000 -3.996946e+64 -5.261372e+64 6.333948e+64
167 2170 177780.000 -3.996946e+64 -5.261372e+64 6.333948e+64
168 2170 177810.000 -3.996946e+64 -5.261372e+64 6.333948e+64
169 2170 177840.000 -3.996946e+64 -5.261372e+64 6.333948e+64
170 2170 177870.000 -3.996946e+64 -5.261372e+64 6.333948e+64
171 2170 177900.000 -3.996946e+64 -5.261372e+64 6.333948e+64
172 2170 177930.000 -3.996946e+64 -5.261372e+64 6.333948e+64
173 2170 177960.000 -3.996946e+64 -5.261372e+64 6.333948e+64
174 2170 177990.000 -3.996946e+64 -5.261372e+64 6.333948e+64
175 2170 178020.000 -3.996946e+64 -5.261372e+64 6.333948e+64
176 2170 178050.000 -3.996946e+64 -5.261372e+64 6.333948e+64
177 2170 178080.000 -3.996946e+64 -5.261372e+64 6.333948e+64
178 2170 178110.000 -3.996946e+64 -5.261372e+64 6.333948e+64
179 2170 178140.000 -3.996946e+64 -5.261372e+64 6.333948e+64
180 2170 178170.000 -3.996946e+64 -5.261372e+64 6.333948e+64
181 2170 178200.000 -3.996946e+64 -5.261372e+64 6.333948e+64
182 2170 178230.000 -3.996946e+64 -5.261372e+64 6.333948e+64
183 2170 178260.000 -3.996946e+64 -5.261372e+64 6.333948e+64
184 2170 178290.000 -3.996946e+64 -5.261372e+64 6.333948e+64
185 2170 178320.000 -3.996946e+64 -5.261372e+64 6.333948e+64
186 2170 178350.000 -3.996946e+64 -5.261372e+64 6.333948e+64
187 2170 178380.000 -3.996946e+64 -5.261372e+64 6.333948e+64
188 2170 178410.000 -3.996946e+64 -5.261372e+64 6.333948e+64
189 2170 178440.000 -3.996946e+64 -5.261372e+64 6.333948e+64
190 2170 178470.000 -3.996946e+64 -5.261372e+64 6.333948e+64
191 2170 178500.000 -3.996946e+64 -5.261372e+64 6.333948e+64
192 2170 178530.000 -3.996946e+64 -5.261372e+64 6.333948e+64
193 2170 178560.000 -3.996946e+64 -5.261372e+64 6.333948e+64
194 2170 178590.000 -3.996946e+64 -5.261372e+64 6.333948e+64
195 2170 178620.000 -3.996946e+64 -5.261372e+64 6.333948e+64
196 2170 178650.000 -3.996946e+64 -5.261372e+64 6.333948e+64
197 2170 178680.000 -3.996946e+64 -5.261372e+64 6.333948e+64
198 2170 178710.000 -3.996946e+64 -5.261372e+64 6.333948e+64
199 2170 178740.000 -3.996946e+64 -5.261372e+64 6.333948e+64
200 2170 178770.000 -3.996946e+64 -5.261372e+64 6.333948e+64
201 2170 178800.000 -3.996946e+64 -5.261372e+64 6.333948e+64
202 2170 178830.000 -3.996946e+64 -5.261372e+64 6.333948e+64
203 2170 178860.000 -3.996946e+64 -5.261372e+64 6.333948e+64
204 2170 178890.000 -3.996946e+64 -5.261372e+64 6.333948e+64
205 2170 178920.000 -3.996946e+64 -5.261372e+64 6.333948e+64
206 2170 178950.000 -3.996946e+64 -5.261372e+64 6.333948e+64
207 2170 178980.000 -3.996946e+64 -5.261372e+64 6.333948e+64
208 2170 179010.000 -3.996946e+64 -5.261372e+64 6.333948e+64
209 2170 179040.000 -3.996946e+64 -5.261372e+64 6.333948e+64
210 2170 179070.000 -3.996946e+64 -5.261372e+64 6.333948e+64
211 2170 179100.000 -3.996946e+64 -5.261372e+64 6.333948e+64
212 2170 179130.000 -3.996946e+64 -5.261372e+64 6.333948e+64
213 2170 179160.000 -3.996946e+64 -5.261372e+64 6.333948e+64
214 2170 179190.000 -3.996946e+64 -5.261372e+64 6.333948e+64
215 2170 179220.000 -3.996946e+64 -5.261372e+64 6.333948e+64
216 2170 179250.000 -3.996946e+64 -5.261372e+64 6.333948e+64
217 2170 179280.000 -3.996946e+64 -5.261372e+64 6.333948e+64
218 2170 179310.000 -3.996946e+64 -5.261372e+64 6.333948e+64
219 2170 179340.000 -3.996946e+64 -5.261372e+64 6.333948e+64
220 2170 179370.000 -3.996946e+64 -5.261372e+64 6.333948e+64
221 2170 179400.000 -3.996946e+64 -5.261372e+64 6.333948e+64
222 2170 179430.000 -3.996946e+64 -5.261372e+64 6.333948e+64
223 2170 179460.000 -3.996946e+64 -5.261372e+64 6.333948e+64
224 2170 179490.000 -3.996946e+64 -5.261372e+64 6.333948e+64
225 2170 179520.000 -3.996946e+64 -5.261372e+64 6.333948e+64
226 2170 179550.000 -3.996946e+64 -5.261372e+64 6.333948e+64
227 2170 179580.000 -3.996946e+64 -5.261372e+64 6.333948e+64
228 2170 179610.000 -3.996946e+64 -5.261372e+64 6.333948e+64
229 2170 179640.000 -3.996946e+64 -5.261372e+64 6.333948e+64
230 2170 179670.000 -3.996946e+64 -5.261372e+64 6.333948e+64
231 2170 179700.000 -3.996946e+64 -5.261372e+64 6.333948e+64
232 2170 179730.000 -3.996946e+64 -5.261372e+64 6.333948e+64
233 2170 179760.000 -3.996946e+64 -5.261372e+64 6.333948e+64
234 2170 179790.000 -3.996946e+64 -5.261372e+64 6.333948e+64
235 2170 179820.000 -3.996946e+64 -5.261372e+64 6.333948e+64
236 2170 179850.000 -3.996946e+64 -5.261372e+64 6.333948e+64
237 2170 179880.000 -3.996946e+64 -5.261372e+64 6.333948e+64
238 2170 179910.000 -3.996946e+64 -5.261372e+64 6.333948e+64
239 2170 179940.000 -3.996946e+64 -5.261372e+64 6.333948e+64
240 2170 179970.000 -3.996946e+64 -5.261372e+64 6.333948e+64
241 2170 180000.000 -3.996946e+64 -5.261372e+64 6.333948e+64
242 2170 180030.000 -3.996946e+64 -5.261372e+64 6.333948e+64
243 2170 180060.000 -3.996946e+64 -5.261372e+64 6.333948e+64
244 2170 180090.000 -3.996946e+64 -5.261372e+64 6.333948e+64
245 2170 180120.000 -3.996946e+64 -5.261372e+64 6.333948e+64
246 2170 180150.000 -3.996946e+64 -5.261372e+64 6.333948e+64
247 2170 180180.000 -3.996946e+64 -5.261372e+64 6.333948e+64
248 2170 180210.000 -3.996946e+64 -5.261372e+64 6.333948e+64
249 2170 180240.000 -3.996946e+64 -5.261372e+64 6.333948e+64
250 2170 180270.000 -3.996946e+64 -5.261372e+64 6.333948e+64
251 2170 180300.000 -3.996946e+64 -5.261372e+64 6.333948e+64
